"ID","Afqt80","Afqt89","Afqt06"
"1127","41","53","56257"
"1128",".",".","."
"1129","1","1","440"
"1130","42","45","50405"
"1131","25","19","28786"
"1132","21","24","25911"
"1133",".",".","."
"1134","53","61","65998"
"1135","45","52","57671"
"1136","98","99","98722"
"1137","71","71","73416"
"1138","81","66","58192"
"1139","63","68","72569"
"1140","67","67","53067"
"1141","32","23","17614"
"1142","88","89","80556"
"1143","81","80","83528"
"1144","79","78","79836"
"1145","84","92","89989"
"1146","11","12","13533"
"1147","55","57","58247"
"1148","6","6","2509"
"1149","5","3","3686"
"1150","8","10","8719"
"1151",".",".","."
"1152","2","1","157"
"1153","6","7","4843"
"1154","54","49","37463"
"1155","25","19","25334"
"1156","51","53","39245"
"1157","59","65","70820"
"1158","28","22","27018"
"1159","35","35","45679"
"1160","21","26","34867"
"1161","43","41","38966"
"1162","2","5","10641"
"1163","19","24","20274"
"1164",".",".","."
"1165","11","13","10734"
"1166","29","45","42776"
"1167","77","84","91438"
"1168","10","12","8929"
"1169","54","64","53364"
"1170","27","31","33971"
"1171","34","24","26109"
"1172","70","69","72620"
"1173","48","44","50560"
"1174","90","92","87820"
"1175","92","95","94662"
"1176","47","42","62064"
"1177","96","97","96106"
"1178","66","64","67830"
"1179","67","63","74366"
"1180","18","17","14174"
"1181","66","63","64846"
"1182","94","89","91545"
"1183","83","93","94005"
"1184","95","90","90731"
"1185","93","99","100000"
"1186","41","58","58930"
"1187","70","87","86394"
"1188","75","74","79064"
"1189","35","35","31096"
"1190","24","20","20717"
"1191","20","17","15640"
"1192","24","22","28225"
"1193","12","14","32369"
"1194","20","24","13798"
"1195","65","72","70028"
"1196",".",".","."
"1197","46","59","74129"
"1198","43","52","58587"
"1199","30","29","17116"
"1200","32","49","49449"
"1201","17","22","23078"
"1202","13","15","16511"
"1203","10","17","17864"
"1204","4","2","349"
"1205","2","3","7028"
"1206","15","17","22441"
"1207","13","17","24260"
"1208","84","89","82941"
"1209","6","9","2921"
"1210","1","1","470"
"1211","1","4","3778"
"1212","1","2","3310"
"1213","2","4","2636"
"1214","2","1","4866"
"1215","10","9","14118"
"1216","10","10","14231"
"1217","5","4","5543"
"1218","8","7","23888"
"1219","3","5","16449"
"1220","4","4","4968"
"1221","1","1","899"
"1222","8","5","7510"
"1223","4","2","1552"
"1224","16","19","15040"
"1225","4","2","1354"
"1226","15","13","12655"
"1227","2","2","1210"
"1228","36","38","39856"
"1229","45","41","48703"
"1230","22","25","18945"
"1231","60","74","86922"
"1232","63","73","79533"
"1233","33","40","36925"
"1234","23","18","17520"
"1235","20","10","9121"
"1236","27","22","38073"
"1237","24","29","29091"
"1238","55","62","54782"
"1239","30","35","37981"
"1240","74","71","70563"
"1241","6","6","8278"
"1242","15","9","14519"
"1243","37","46","51721"
"1244","6","7","9604"
"1245","20","22","20120"
"1246","35","33","45325"
"1247","13","10","12838"
"1248","28","39","45437"
"1249","73","65","64562"
"1250","36","47","31365"
"1251","32","29","36464"
"1252","65","62","54280"
"1253","27","32","52948"
