ExtendedID,SubjectTag_S1,SubjectTag_S2,R,RelationshipPath
165,16501,16502,0.5,Gen2Siblings
165,16501,16503,0.5,Gen2Siblings
165,16501,16600,0.25,AuntNiece
165,16502,16503,0.5,Gen2Siblings
165,16502,16600,0.25,AuntNiece
165,16503,16600,0.25,AuntNiece
167,16700,16701,0.5,ParentChild
167,16700,16702,0.5,ParentChild
167,16701,16702,0.5,Gen2Siblings
168,16800,16900,.,Gen1Housemates
172,17200,17201,0.5,ParentChild
174,17400,17401,0.5,ParentChild
174,17400,17402,0.5,ParentChild
174,17401,17402,0.5,Gen2Siblings
175,17500,17501,0.5,ParentChild
175,17500,17502,0.5,ParentChild
175,17500,17503,0.5,ParentChild
175,17500,17504,0.5,ParentChild
175,17500,17600,0.5,Gen1Housemates
175,17500,17700,0.5,Gen1Housemates
175,17501,17502,0.5,Gen2Siblings
175,17501,17503,0.5,Gen2Siblings
175,17501,17504,0.5,Gen2Siblings
175,17501,17600,0.25,AuntNiece
175,17501,17700,0.25,AuntNiece
175,17502,17503,0.5,Gen2Siblings
175,17502,17504,0.5,Gen2Siblings
175,17502,17600,0.25,AuntNiece
175,17502,17700,0.25,AuntNiece
175,17503,17504,0.5,Gen2Siblings
175,17503,17600,0.25,AuntNiece
175,17503,17700,0.25,AuntNiece
175,17504,17600,0.25,AuntNiece
175,17504,17700,0.25,AuntNiece
175,17600,17700,0.5,Gen1Housemates
179,17900,17901,0.5,ParentChild
179,17900,17902,0.5,ParentChild
179,17901,17902,0.5,Gen2Siblings
180,18000,18001,0.5,ParentChild
180,18000,18002,0.5,ParentChild
180,18000,18003,0.5,ParentChild
180,18001,18002,0.5,Gen2Siblings
180,18001,18003,0.5,Gen2Siblings
180,18002,18003,0.5,Gen2Siblings
181,18100,18200,.,Gen1Housemates
183,18300,18301,0.5,ParentChild
183,18300,18302,0.5,ParentChild
183,18300,18303,0.5,ParentChild
183,18300,18400,0.5,Gen1Housemates
183,18300,18401,0.25,AuntNiece
183,18300,18500,0.5,Gen1Housemates
183,18301,18302,0.5,Gen2Siblings
183,18301,18303,0.5,Gen2Siblings
183,18301,18400,0.25,AuntNiece
183,18301,18401,0.125,Gen2Cousins
183,18301,18500,0.25,AuntNiece
183,18302,18303,0.5,Gen2Siblings
183,18302,18400,0.25,AuntNiece
183,18302,18401,0.125,Gen2Cousins
183,18302,18500,0.25,AuntNiece
183,18303,18400,0.25,AuntNiece
183,18303,18401,0.125,Gen2Cousins
183,18303,18500,0.25,AuntNiece
183,18400,18401,0.5,ParentChild
183,18400,18500,0.5,Gen1Housemates
183,18401,18500,0.25,AuntNiece
186,18600,18601,0.5,ParentChild
186,18600,18700,0.5,Gen1Housemates
186,18601,18700,0.25,AuntNiece
188,18800,18801,0.5,ParentChild
190,19000,19001,0.5,ParentChild
190,19000,19100,0.5,Gen1Housemates
190,19001,19100,0.25,AuntNiece
192,19200,19201,0.5,ParentChild
192,19200,19202,0.5,ParentChild
192,19200,19203,0.5,ParentChild
192,19201,19202,0.5,Gen2Siblings
192,19201,19203,0.5,Gen2Siblings
192,19202,19203,0.5,Gen2Siblings
193,19300,19400,0.5,Gen1Housemates
197,19700,19701,0.5,ParentChild
197,19700,19702,0.5,ParentChild
197,19701,19702,0.5,Gen2Siblings
200,20000,20001,0.5,ParentChild
200,20000,20002,0.5,ParentChild
200,20001,20002,0.5,Gen2Siblings
203,20300,20301,0.5,ParentChild
203,20300,20302,0.5,ParentChild
203,20301,20302,0.25,Gen2Siblings
204,20400,20401,0.5,ParentChild
204,20400,20402,0.5,ParentChild
204,20401,20402,0.25,Gen2Siblings
205,20500,20501,0.5,ParentChild
205,20500,20502,0.5,ParentChild
205,20500,20503,0.5,ParentChild
205,20501,20502,0.5,Gen2Siblings
205,20501,20503,0.5,Gen2Siblings
205,20502,20503,0.5,Gen2Siblings
206,20600,20700,0.5,Gen1Housemates
208,20800,20801,0.5,ParentChild
210,21000,21100,0.5,Gen1Housemates
210,21000,21101,0.25,AuntNiece
210,21000,21102,0.25,AuntNiece
210,21000,21103,0.25,AuntNiece
210,21000,21104,0.25,AuntNiece
210,21100,21101,0.5,ParentChild
210,21100,21102,0.5,ParentChild
210,21100,21103,0.5,ParentChild
210,21100,21104,0.5,ParentChild
210,21101,21102,0.5,Gen2Siblings
210,21101,21103,0.5,Gen2Siblings
210,21101,21104,0.5,Gen2Siblings
210,21102,21103,0.5,Gen2Siblings
210,21102,21104,0.5,Gen2Siblings
210,21103,21104,0.5,Gen2Siblings
212,21200,21300,0.5,Gen1Housemates
212,21200,21400,0.5,Gen1Housemates
212,21300,21400,0.5,Gen1Housemates
216,21600,21700,.,Gen1Housemates
219,21900,22000,0.5,Gen1Housemates
221,22100,22101,0.5,ParentChild
221,22100,22102,0.5,ParentChild
221,22100,22103,0.5,ParentChild
221,22100,22104,0.5,ParentChild
221,22100,22200,0.5,Gen1Housemates
221,22100,22300,0.5,Gen1Housemates
221,22100,22400,0.5,Gen1Housemates
221,22100,22401,0.25,AuntNiece
221,22100,22402,0.25,AuntNiece
221,22100,22403,0.25,AuntNiece
221,22101,22102,0.5,Gen2Siblings
221,22101,22103,0.25,Gen2Siblings
221,22101,22104,0.25,Gen2Siblings
221,22101,22200,0.25,AuntNiece
221,22101,22300,0.25,AuntNiece
221,22101,22400,0.25,AuntNiece
221,22101,22401,0.125,Gen2Cousins
221,22101,22402,0.125,Gen2Cousins
221,22101,22403,0.125,Gen2Cousins
221,22102,22103,0.25,Gen2Siblings
221,22102,22104,0.25,Gen2Siblings
221,22102,22200,0.25,AuntNiece
221,22102,22300,0.25,AuntNiece
221,22102,22400,0.25,AuntNiece
221,22102,22401,0.125,Gen2Cousins
221,22102,22402,0.125,Gen2Cousins
221,22102,22403,0.125,Gen2Cousins
221,22103,22104,0.5,Gen2Siblings
221,22103,22200,0.25,AuntNiece
221,22103,22300,0.25,AuntNiece
221,22103,22400,0.25,AuntNiece
221,22103,22401,0.125,Gen2Cousins
221,22103,22402,0.125,Gen2Cousins
221,22103,22403,0.125,Gen2Cousins
221,22104,22200,0.25,AuntNiece
221,22104,22300,0.25,AuntNiece
221,22104,22400,0.25,AuntNiece
221,22104,22401,0.125,Gen2Cousins
221,22104,22402,0.125,Gen2Cousins
221,22104,22403,0.125,Gen2Cousins
221,22200,22300,0.5,Gen1Housemates
221,22200,22400,0.5,Gen1Housemates
221,22200,22401,0.25,AuntNiece
221,22200,22402,0.25,AuntNiece
221,22200,22403,0.25,AuntNiece
221,22300,22400,0.5,Gen1Housemates
221,22300,22401,0.25,AuntNiece
221,22300,22402,0.25,AuntNiece
221,22300,22403,0.25,AuntNiece
221,22400,22401,0.5,ParentChild
221,22400,22402,0.5,ParentChild
221,22400,22403,0.5,ParentChild
221,22401,22402,0.25,Gen2Siblings
221,22401,22403,0.25,Gen2Siblings
221,22402,22403,0.5,Gen2Siblings
225,22500,22600,0.5,Gen1Housemates
227,22700,22701,0.5,ParentChild
227,22700,22702,0.5,ParentChild
227,22700,22703,0.5,ParentChild
227,22700,22704,0.5,ParentChild
227,22701,22702,0.25,Gen2Siblings
227,22701,22703,0.25,Gen2Siblings
227,22701,22704,0.25,Gen2Siblings
227,22702,22703,0.25,Gen2Siblings
227,22702,22704,0.25,Gen2Siblings
227,22703,22704,0.25,Gen2Siblings
228,22800,22801,0.5,ParentChild
228,22800,22802,0.5,ParentChild
228,22800,22803,0.5,ParentChild
228,22800,22804,0.5,ParentChild
228,22801,22802,0.25,Gen2Siblings
228,22801,22803,0.25,Gen2Siblings
228,22801,22804,0.25,Gen2Siblings
228,22802,22803,0.5,Gen2Siblings
228,22802,22804,0.5,Gen2Siblings
228,22803,22804,0.5,Gen2Siblings
229,22900,22901,0.5,ParentChild
231,23100,23101,0.5,ParentChild
231,23100,23102,0.5,ParentChild
231,23100,23200,0.5,Gen1Housemates
231,23100,23300,0.5,Gen1Housemates
231,23101,23102,0.5,Gen2Siblings
231,23101,23200,0.25,AuntNiece
231,23101,23300,0.25,AuntNiece
231,23102,23200,0.25,AuntNiece
231,23102,23300,0.25,AuntNiece
