"","Subject1Tag","Subject2Tag","ExtendedID","R","RelationshipPath","Intell_1","Strength_1","Orientation_1","Intell_2","Strength_2","Orientation_2"
"4917",1054000,1054200,10540,0.5,1,47.924,-1.041644227,-1,23.044,-1.379335208,0
"4918",1054100,1054200,10540,0.5,1,48.438,-1.379335208,0,23.044,-1.379335208,0
"4919",1054400,1054500,10544,0.5,1,17.122,-1.796393039,0,7.226,NA,NA
"4920",1054400,1054600,10544,0.5,1,17.122,-1.796393039,0,7.877,-1.796393039,NA
"4921",1054500,1054600,10544,0.5,1,7.226,NA,NA,7.877,-1.796393039,NA
"4922",1054700,1054800,10547,0.5,1,12.629,-1.379335208,-0.5,25.708,-0.268630856,1
"4923",1055000,1055100,10550,0.5,1,9.123,0.0094076986,-1,10.002,0.0094076986,1
"4924",1055300,1055400,10553,NA,1,39.316,0.2874462527,-1,30.379,0.614300512,-1
"4925",1055900,1056000,10559,NA,1,17.029,NA,NA,45.871,NA,NA
"4926",1056200,1056300,10562,NA,1,33.538,NA,NA,77.698,NA,NA
"4927",1056700,1056800,10567,0.5,1,3.868,-1.319682781,-1,6.675,NA,NA
"4928",1057000,1057100,10570,NA,1,0.815,NA,NA,2.122,NA,NA
"4929",1057200,1057300,10572,0.5,1,26.657,0.614300512,1,1.17,0.6871693869,-1
"4930",1057500,1057600,10575,NA,1,4.705,NA,NA,29.225,NA,NA
"4931",1057600,1057700,10575,NA,1,29.225,NA,NA,30.695,NA,NA
"4932",1057500,1057700,10575,NA,1,4.705,NA,NA,30.695,NA,NA
"4933",1058300,1058400,10583,0.5,1,3.358,-0.783973103,-1,37.532,-1.796393039,0
"4934",1058300,1058500,10583,NA,1,3.358,-0.783973103,-1,46.108,NA,NA
"4935",1058400,1058500,10583,NA,1,37.532,-1.796393039,0,46.108,NA,NA
"4936",1024400,1059100,10244,NA,1,NA,NA,NA,NA,NA,NA
"4937",1024500,1059100,10244,NA,1,NA,NA,NA,NA,NA,NA
"4938",1059300,1059400,10593,NA,1,51.982,NA,NA,33.099,NA,NA
"4939",9600,1175100,96,NA,1,36.772,0.1972426808,-1,24.592,-1.340050212,-1
"4940",1175400,1175500,11754,0.5,1,5.044,-0.21981515,0,7.35,-0.189264005,0
"4941",1175600,1175700,11756,0.5,1,NA,-0.21981515,NA,NA,NA,NA
"4942",1176000,1176100,11760,0.5,1,0,-1.379335208,NA,24.028,0.0094076986,-1
"4943",1176200,1176300,11762,0.5,1,1.792,0.6871693869,-1,47.481,-0.128161715,0
"4944",1176400,1176500,11764,0.5,1,5.947,0.4091308328,1,11.33,-0.54666941,-1
"4945",1176700,1176800,11767,NA,1,NA,NA,NA,NA,NA,NA
"4946",1176900,1177000,11769,0.5,1,67.337,0.718201162,-1,20.914,-0.919959647,-1
"4947",1177400,1177500,11774,NA,1,50.176,-1.379335208,0,86.491,-0.21981515,1
"4948",1177700,1177800,11777,0.5,1,90.862,0.6871693869,-1,71.422,0.6871693869,-1
"4949",1178000,1178100,11780,0.5,1,68.857,-0.268630856,1,57.203,-0.54666941,1
"4950",1178100,1178200,11780,0.5,1,57.203,-0.54666941,1,82.513,NA,NA
"4951",1178000,1178200,11780,0.5,1,68.857,-0.268630856,1,82.513,NA,NA
"4952",1178500,1178600,11785,0.5,1,19.889,0.6448516572,0,44.583,-0.268630856,1
"4953",1178700,1178800,11787,0.5,1,20.097,0.1310922787,-1,38.44,NA,NA
"4954",1179000,1179100,11790,0.5,1,35.299,0.2874462527,1,66.503,-0.485567119,-1
"4955",1179300,1179400,11793,0.5,1,11.738,0.965207941,-1,19.708,-0.189264005,1
"4956",1179600,1179700,11796,0.5,1,97.147,0.614300512,-1,40.415,0.6871693869,-1
"4957",1179800,1179900,11798,0.375,1,45.075,0.4091308328,-1,26.504,0.2874462527,1
"4958",1180300,1180400,11803,0.5,1,NA,NA,NA,NA,-1.319682781,1
"4959",1180400,1180500,11803,0.5,1,NA,-1.319682781,1,NA,0.965207941,1
"4960",1180300,1180500,11803,0.5,1,NA,NA,NA,NA,0.965207941,1
"4961",1180800,1180900,11808,0.5,1,65.571,0.965207941,1,68.468,0.0094076986,1
"4962",1181000,1181100,11810,0.5,1,1.127,-1.796393039,0,0.823,-0.54666941,1
"4963",1181000,1181200,11810,0.5,1,1.127,-1.796393039,0,3.34,-0.962277377,0
"4964",1181100,1181200,11810,0.5,1,0.823,-0.54666941,1,3.34,-0.962277377,0
"4965",1181200,1181300,11810,0.5,1,3.34,-0.962277377,0,3.222,0.614300512,0
"4966",1181100,1181300,11810,0.5,1,0.823,-0.54666941,1,3.222,0.614300512,0
"4967",1181000,1181300,11810,0.5,1,1.127,-1.796393039,0,3.222,0.614300512,0
"4968",1181000,1181400,11810,0.5,1,1.127,-1.796393039,0,2.314,-1.379335208,0
"4969",1181200,1181400,11810,0.5,1,3.34,-0.962277377,0,2.314,-1.379335208,0
"4970",1181300,1181400,11810,0.5,1,3.222,0.614300512,0,2.314,-1.379335208,0
"4971",1181100,1181400,11810,0.5,1,0.823,-0.54666941,1,2.314,-1.379335208,0
"4972",1181700,1181800,11817,NA,1,13.198,-1.597721336,-1,12.57,-1.379335208,0
"4973",1182000,1182100,11820,0.5,1,62.701,1.0313583431,1,96.046,NA,NA
